date,listeners,monthly listeners,monthly active listeners,super listeners,streams,playlist adds,saves,followers
2024-03-19,766332,9633440,5193622,261885,1372394,40906,23619,1951780
2024-03-20,779381,9642613,5195645,261946,1397943,39747,24881,1952382
2024-03-21,779194,9645410,5197511,262034,1396185,38129,24067,1952978
2024-03-22,771235,9643496,5196522,261935,1381884,37862,22992,1953561
2024-03-23,729175,9622616,5194516,261829,1327477,39693,21885,1954059
2024-03-24,698984,9612923,5191683,261582,1291225,41168,20161,1954700
2024-03-25,734934,9610447,5190264,261227,1320575,40783,20135,1955216
2024-03-26,740500,9598513,5187780,261140,1325230,39954,20319,1955784
2024-03-27,762412,9594320,5188720,260904,1368809,39265,19916,1956319
2024-03-28,756549,9592231,5189079,260636,1350898,42327,20666,1956841
2024-03-29,725925,9593536,5183512,259871,1308341,40759,19726,1957377
2024-03-30,698568,9584956,5177816,259427,1272528,40317,19217,1957867
2024-03-31,655358,9558785,5171059,258389,1200450,39891,18437,1958445
2024-04-01,715346,9554426,5169553,257746,1294725,41253,20259,1958999
2024-04-02,733586,9541536,5166412,257368,1315474,40920,20368,1959553
2024-04-03,729855,9529133,5161685,256997,1305684,40518,20166,1960082
2024-04-04,729545,9511627,5154553,256496,1296692,40065,19626,1960628
2024-04-05,761816,9506429,5140436,254626,1345951,39824,19719,1961144
2024-04-06,736252,9505391,5129855,253238,1321172,38740,18987,1961726
2024-04-07,702497,9506156,5119869,251443,1266943,40653,19153,1962285
2024-04-08,744800,9516600,5109978,249756,1313400,39566,20518,1962843
2024-04-09,758393,9524754,5103044,248148,1325672,38026,19968,1963343
2024-04-10,737395,9498710,5093416,246544,1298144,37647,18815,1963908
2024-04-11,725690,9472287,5085654,245208,1283287,37814,18430,1964457
2024-04-12,742122,9456913,5081099,243966,1307560,35371,18451,1964971
2024-04-13,703080,9437659,5076169,243175,1262965,35534,17181,1965460
2024-04-14,671533,9426620,5073131,242395,1221588,38596,16790,1965955
2024-04-15,718550,9411966,5072265,241624,1269850,38635,18356,1966420
2024-04-16,687724,9382325,5068564,240980,1218944,36003,16801,1966940
2024-04-17,685975,9341796,5062136,239972,1220825,36515,17310,1967424
2024-04-18,683824,9287808,5056908,238943,1212145,36430,17529,1967904
2024-04-19,683228,9244202,5051752,238309,1223178,36252,16768,1968379
2024-04-20,661437,9214899,5046455,237379,1194730,34727,16694,1968892
2024-04-21,629930,9187355,5041108,236729,1159662,38766,16493,1968399
2024-04-22,647388,9158112,5036849,236049,1154068,38484,16530,1968817
2024-04-23,696425,9150839,5033926,235397,1240718,37624,18454,1969267
2024-04-24,702076,9133654,5027328,234449,1246792,37945,18147,1969733
2024-04-25,707912,9114818,5020002,233770,1255984,37612,18471,1970212
2024-04-26,710155,9102041,5020060,233603,1266191,38687,18131,1970646
2024-04-27,667521,9079641,5018968,233405,1201442,37616,16987,1971063
2024-04-28,633992,9068789,5018568,233424,1154817,39229,17162,1971498
2024-04-29,674755,9049986,5013404,233231,1196322,38848,18179,1971953
2024-04-30,667086,9020322,5012654,232459,1183986,36157,16293,1972409
2024-05-01,641807,8993614,5007928,231403,1157862,36287,16657,1972847
2024-05-02,668121,8974997,5004773,230990,1189893,36943,17465,1973293
2024-05-03,695694,8951252,4999682,230298,1247217,36468,17538,1973783
2024-05-04,652038,8909480,4990989,229311,1181795,37556,16717,1974268
2024-05-05,607241,8864401,4982701,228702,1115346,36997,16048,1974682
2024-05-06,637730,8820095,4977531,227629,1145945,38149,17310,1975128
2024-05-07,642202,8765442,4971298,226772,1149240,34766,16386,1975590
2024-05-08,670115,8744001,4968970,225939,1197083,35032,16619,1976020
2024-05-09,664103,8721968,4963928,224967,1185834,34200,16864,1976451
2024-05-10,650078,8681328,4959622,223852,1164995,33476,16024,1976870
2024-05-11,620007,8640752,4954535,223090,1127417,34081,15298,1977263
2024-05-12,600548,8614016,4950753,222109,1104491,35394,15845,1977740
2024-05-13,642754,8584871,4948527,221339,1158766,38114,17790,1978206
2024-05-14,649598,8577440,4947317,220898,1164815,35479,17577,1978661
2024-05-15,660671,8577368,4946893,220392,1190702,36926,18100,1979185
2024-05-16,658546,8578058,4944790,220001,1178727,37284,18068,1979669
2024-05-17,725423,8599185,4948083,220045,1300983,42251,25797,1980249
2024-05-18,700136,8631373,4951068,220120,1278918,38989,22568,1980801
2024-05-19,677924,8672948,4954961,220091,1251525,40079,21450,1981377
2024-05-20,669035,8690081,4957710,219956,1228388,39757,20656,1981881
2024-05-21,676188,8678193,4962147,220258,1227609,38364,21224,1982361
2024-05-22,698508,8670071,4968078,220512,1273800,40189,21912,1982880
2024-05-23,682941,8650990,4970308,220892,1244573,37013,20332,1983361
2024-05-24,675856,8630139,4969368,220863,1214064,35881,17467,1983869
2024-05-25,645154,8611498,4967730,220824,1168216,36100,17032,1984297
2024-05-26,606355,8599955,4964773,220547,1109651,36661,16665,1984764
2024-05-27,624794,8576860,4962054,220241,1123753,36685,16060,1985181
2024-05-28,646735,8565816,4957391,220018,1154125,36782,16944,1985518
2024-05-29,655624,8569520,4957987,220464,1167058,34787,16517,1985934
2024-05-30,657436,8562784,4957342,220262,1181120,35930,16645,1986381
2024-05-31,677152,8564767,4956217,220282,1217367,35669,17634,1986852
2024-06-01,628067,8554605,4954485,220416,1136752,34473,16019,1987297
2024-06-02,600429,8547224,4954863,220663,1109400,36473,16226,1987729
2024-06-03,627518,8549945,4951762,220723,1130694,35297,16322,1988127
2024-06-04,638553,8554529,4949566,220783,1141869,34891,16831,1988552
2024-06-05,647603,8543960,4944512,220794,1155670,34376,16160,1989003
2024-06-06,654585,8537800,4942251,221005,1169510,34743,16731,1989567
2024-06-07,663685,8546657,4939911,221049,1185218,34117,17106,1989848
2024-06-08,635121,8551736,4936599,220730,1156403,34185,16000,1990296
2024-06-09,602095,8554954,4933208,220733,1112723,35152,15473,1990726
2024-06-10,642003,8565623,4929403,220098,1155664,36095,17060,1991162
2024-06-11,647427,8570910,4925810,219583,1165246,35933,16747,1991616
2024-06-12,674112,8587399,4922631,219556,1209899,36516,17861,1992034
2024-06-13,678282,8606873,4920029,219562,1225613,35284,17707,1992451
2024-06-14,727517,8609927,4919517,219801,1320758,42104,28458,1992948
2024-06-15,652610,8587122,4916191,219845,1206246,37121,21322,1993395
2024-06-16,600963,8543341,4910948,219925,1128393,36232,19815,1993857
2024-06-17,648977,8529383,4906621,219980,1205290,38310,21739,1994304
2024-06-18,664164,8524071,4903832,219940,1219628,37799,20644,1994775
2024-06-19,658130,8517292,4900611,219621,1218144,37065,21040,1995292
2024-06-20,658185,8507545,4897861,219401,1218058,38106,21435,1995768
2024-06-21,664560,8511142,4892632,218992,1212688,35244,18216,1996203
2024-06-22,617525,8502860,4887644,218721,1137687,36177,16314,1996668
2024-06-23,589315,8494553,4884989,218324,1100118,36392,16768,1997069
2024-06-24,627451,8497521,4883566,218523,1140968,35881,17506,1997503
2024-06-25,625765,8498109,4878862,218138,1128474,36620,16773,1997889
2024-06-26,636151,8495466,4873192,217666,1147265,34294,16263,1998261
2024-06-27,638076,8479413,4869279,217592,1153089,35789,17968,1998658
2024-06-28,695869,8484934,4868622,218502,1273090,43348,27482,1999227
2024-06-29,632141,8472995,4867563,219168,1177946,37443,21264,1999634
2024-06-30,598806,8461478,4865946,219495,1127203,38704,20028,2000036
2024-07-01,651536,8475609,4867367,220088,1209292,39607,22184,2000483
2024-07-02,661536,8493651,4869002,220713,1229863,39363,21627,2000979
2024-07-03,695801,8516001,4872350,221727,1279638,38987,21543,2001437
2024-07-04,679219,8524841,4872647,222284,1257733,37520,20960,2001926
2024-07-05,654004,8524797,4865630,222401,1196957,35644,17716,2002393
2024-07-06,626578,8520663,4861542,222701,1153096,34768,16967,2002929
2024-07-07,627187,8535811,4862996,223077,1162383,38400,20070,2003559
2024-07-08,676405,8557173,4864062,223466,1234590,39865,20977,2003999
2024-07-09,670941,8583760,4862573,223621,1208256,38561,19447,2004448
